dataset_id,dataset_name,organism_query,database_id,database_name,database_version,formula,adduct,ionFormula,ion,mz,msm,rhoSpatial,rhoSpectral,moc,fdr,offSample,isotopeImages,colocCoeff,moleculeNames,moleculeIds,intensity
2021-11-10_04h48m47s,pos_print19_rms_peak1104,Homo sapiens (human),374,KEGG,v1,C10H7NO3,+Na,C10H7NO3Na,C10H7NO3+Na+,212.03181376699996,0.8857849,0.8897565715259032,0.9966229618617118,0.9989095865515675,0.05,False,"[{'mz': 212.03180317480135, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/05862df8c09949db84e7bbef07eaaf94', 'minIntensity': 0, 'maxIntensity': 1072587.5, 'totalIntensity': 5159738368}, {'mz': 213.03517728572794, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/a46e60cedede4495a313066266d95e3d', 'minIntensity': 0, 'maxIntensity': 124434.5546875, 'totalIntensity': 568785600}, {'mz': 214.03605013764627, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}, {'mz': 214.0385232213455, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}]",,"['4-Hydroxy-2-quinolinecarboxylic acid', 'N-Acetylisatin', '1-Nitronaphthalene-5,6-oxide', '1-Nitronaphthalene-7,8-oxide', '2-Oxo-1,2-dihydroquinoline-4-carboxylate', '3-Hydroxyquinaldic acid', '(2E)-3-(4-Hydroxyphenyl)-2-isocyanoprop-2-enoate']","['C01717', 'C02172', 'C14800', 'C14802', 'C16715', 'C18621', 'C21891']",1072587.5
2021-11-10_04h48m47s,pos_print19_rms_peak1104,Homo sapiens (human),374,KEGG,v1,C11H8N2,+H,C11H9N2,C11H8N2+H+,169.076024691,0.8293575,0.8410596265072606,0.9870553552595139,0.9990184059525634,0.05,False,"[{'mz': 169.0760137288013, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/dcbc53d6e98846baa11700ab2cb23602', 'minIntensity': 0, 'maxIntensity': 450228.34375, 'totalIntensity': 1382946944}, {'mz': 170.07305678638542, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}, {'mz': 170.07937050303823, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/13d55f63cede4ef18d29135ba3634d1b', 'minIntensity': 0, 'maxIntensity': 58859.24609375, 'totalIntensity': 116000208}, {'mz': 171.08274401530664, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}]",,"['beta-Carboline', '3-[(Z)-2-Isocyanoethenyl]-1H-indole', '3-[(E)-2-Isocyanoethenyl]-1H-indole']","['C20157', 'C21893', 'C21894']",450228.34375
2021-11-10_04h48m47s,pos_print19_rms_peak1104,Homo sapiens (human),374,KEGG,v1,C20H20O5,+K,C20H20O5K,C20H20O5+K+,379.094231633,0.63832283,0.6583006223022383,0.9708576251269854,0.9987587161428221,0.5,False,"[{'mz': 379.0942210608014, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/5e314ab7e791454f84fbc127ed256e3e', 'minIntensity': 0, 'maxIntensity': 582124.375, 'totalIntensity': 1518873472}, {'mz': 380.0975973254415, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/c8124129234449d39abe83ef576b2b65', 'minIntensity': 0, 'maxIntensity': 123021.2421875, 'totalIntensity': 305301408}, {'mz': 381.0923594540576, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}, {'mz': 381.100937694396, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}]",,"['Glepidotin B', '6-Prenylnaringenin', '5-Deoxykievitone', '(+)-Galbacin', 'Glyceocarpin', '4-Glyceollidin', 'Desmethylxanthohumol', 'Sophoraflavanone B']","['C09753', 'C09832', 'C10418', 'C10616', 'C15509', 'C15510', 'C16416', 'C18023']",582124.375
2021-11-10_04h48m47s,pos_print19_rms_peak1104,Homo sapiens (human),374,KEGG,v1,C14H20N2O4S,+Na,C14H20N2O4SNa,C14H20N2O4S+Na+,335.10359897300003,0.6230902,0.643147421534233,0.9696302709134728,0.9991580877405464,0.5,False,"[{'mz': 335.10358795080134, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/76dbfa6df5e44a84bd0339f40802e50c', 'minIntensity': 0, 'maxIntensity': 159767.6875, 'totalIntensity': 563735488}, {'mz': 336.10694679077534, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/f804870268504beb923ef93e679835d8', 'minIntensity': 0, 'maxIntensity': 31884.169921875, 'totalIntensity': 51575188}, {'mz': 337.09939833805555, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}, {'mz': 337.11031424945804, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}]",,"['PS-6', 'Penicillin F']","['C17371', 'C17402']",159767.6875
2021-11-10_04h48m47s,pos_print19_rms_peak1104,Homo sapiens (human),374,KEGG,v1,C20H16Cl2N2O3,+K,C20H16N2O3Cl2K,C20H16Cl2N2O3+K+,441.01695566499995,0.59659183,0.7159023794260555,0.8352122399315612,0.9977612807865411,0.5,False,"[{'mz': 441.0169451328013, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/0a0e36b17e59460d8b28f412ad8567bb', 'minIntensity': 0, 'maxIntensity': 101958.3515625, 'totalIntensity': 207455600}, {'mz': 442.0202976387038, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/30b030472f7042ebae1746896f2e145b', 'minIntensity': 0, 'maxIntensity': 21619.234375, 'totalIntensity': 12383330}, {'mz': 443.0139992025856, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/fea676755cc347afb9dde6d83246d10a', 'minIntensity': 0, 'maxIntensity': 46036.65625, 'totalIntensity': 53385628}, {'mz': 444.0173580798116, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}]",,['Pyrazoxyfen'],['C18556'],101958.3515625
2021-11-10_04h48m47s,pos_print19_rms_peak1104,Homo sapiens (human),374,KEGG,v1,C17H18N2O6S,+Na,C17H18N2O6SNa,C17H18N2O6S+Na+,401.077778149,0.59655094,0.6138359205558791,0.98364798490106,0.9879967558799676,0.5,False,"[{'mz': 401.0777671268013, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/5795a20c68824ffd9ce3c127abda6e16', 'minIntensity': 0, 'maxIntensity': 336080.6875, 'totalIntensity': 50857092}, {'mz': 402.081121667828, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/718f35acaa7b403e8ef8b515284a9847', 'minIntensity': 0, 'maxIntensity': 92867.2734375, 'totalIntensity': 11560661}, {'mz': 403.0735738299601, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}, {'mz': 403.0844807620966, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/39346372fddd47d5b8c97eb2d1756240', 'minIntensity': 0, 'maxIntensity': 19947.744140625, 'totalIntensity': 28611660}]",,['Carbenicillin'],['C06869'],336080.6875
2021-11-10_04h48m47s,pos_print19_rms_peak1104,Homo sapiens (human),374,KEGG,v1,C30H38O,+Na,C30H38ONa,C30H38O+Na+,437.281486519,0.592305,0.6469207097238946,0.9160008091475293,0.9995361418047882,0.5,False,"[{'mz': 437.2814759168012, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/822bd42dbcf34dffb04b5bf5a1ec8e8a', 'minIntensity': 0, 'maxIntensity': 226625.953125, 'totalIntensity': 234438512}, {'mz': 438.2848441284463, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/84de9e95d10047dfb24bde82d45dc5a8', 'minIntensity': 0, 'maxIntensity': 62249.2265625, 'totalIntensity': 17174400}, {'mz': 439.2882026139559, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}, {'mz': 440.291559756709, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}]",,"[""4,4'-Diapolycopen-4-al""]",['C21766'],226625.953125
2021-11-10_04h48m47s,pos_print19_rms_peak1104,Homo sapiens (human),374,KEGG,v1,C10H7NO3,+K,C10H7NO3K,C10H7NO3+K+,228.00575097699996,0.5823623,0.5858093707561068,0.9967555812594917,0.9973515735561695,0.5,False,"[{'mz': 228.00574041480127, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/d4ccdab0d1c7455e8f521853591d45e4', 'minIntensity': 0, 'maxIntensity': 841843.1875, 'totalIntensity': 7864195072}, {'mz': 229.00911159317562, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/8555e2713aa143268c3e4f498b1e5639', 'minIntensity': 0, 'maxIntensity': 91518.1796875, 'totalIntensity': 1045430400}, {'mz': 230.0038841157646, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/c302cb66688846e0933f0630410c30aa', 'minIntensity': 0, 'maxIntensity': 62315.73046875, 'totalIntensity': 727757760}, {'mz': 231.00722442248318, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}]",,"['4-Hydroxy-2-quinolinecarboxylic acid', 'N-Acetylisatin', '1-Nitronaphthalene-5,6-oxide', '1-Nitronaphthalene-7,8-oxide', '2-Oxo-1,2-dihydroquinoline-4-carboxylate', '3-Hydroxyquinaldic acid', '(2E)-3-(4-Hydroxyphenyl)-2-isocyanoprop-2-enoate']","['C01717', 'C02172', 'C14800', 'C14802', 'C16715', 'C18621', 'C21891']",841843.1875
2021-11-10_04h48m47s,pos_print19_rms_peak1104,Homo sapiens (human),374,KEGG,v1,C29H46O2,+K,C29H46O2K,C29H46O2+K+,465.312938605,0.56424767,0.6113739175417098,0.9232466398558846,0.9996434733701299,0.5,False,"[{'mz': 465.31292803280127, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/991dbf32e2084edb8731bd87474ff952', 'minIntensity': 0, 'maxIntensity': 281056.5625, 'totalIntensity': 340428672}, {'mz': 466.31630126926535, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/aa41c1968432408cafc05bb4d439e382', 'minIntensity': 0, 'maxIntensity': 86092.6484375, 'totalIntensity': 49503896}, {'mz': 467.3110646081226, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}, {'mz': 467.31963568557285, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}]",,"['4alpha-Formylergosta-7,24(24(1))-dien-3beta-ol']",['C22118'],281056.5625
2021-11-10_04h48m47s,pos_print19_rms_peak1104,Homo sapiens (human),374,KEGG,v1,C16H25N5O16P2,+Na,C16H25N5O16P2Na,C16H25N5O16P2+Na+,628.0663744029999,0.56030405,0.5739653353298351,0.979918018221291,0.9962041884816754,0.5,False,"[{'mz': 628.0663628307956, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/d4acc73f90c84364978eda3ec708a884', 'minIntensity': 0, 'maxIntensity': 211062.234375, 'totalIntensity': 334022176}, {'mz': 629.0634185520976, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}, {'mz': 629.0697373382669, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/74d483eaad4c41d0b1e0b77e90bea2bf', 'minIntensity': 0, 'maxIntensity': 73023.34375, 'totalIntensity': 76387000}, {'mz': 630.0706071524393, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/4bdf42d605e8450bbbcf984de63d6483', 'minIntensity': 0, 'maxIntensity': 15528.9716796875, 'totalIntensity': 73542312}]",,"['GDP-mannose', 'GDP-glucose', 'GDPhexose', 'GDP-L-galactose', 'GDP-L-gulose']","['C00096', 'C00394', 'C01581', 'C02280', 'C15925']",211062.234375
2021-11-10_04h48m47s,pos_print19_rms_peak1104,Homo sapiens (human),374,KEGG,v1,C17H25N3O18P2,+Na,C17H25N3O18P2Na,C17H25N3O18P2+Na+,644.0500556430001,0.5373539,0.5672381645291319,0.9557934056469716,0.9911306578706249,0.5,False,"[{'mz': 644.0500440507957, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/b5abf851e7b442b599b6f2f266179786', 'minIntensity': 0, 'maxIntensity': 97225.875, 'totalIntensity': 559372032}, {'mz': 645.0534182267318, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/31ab8ac5387f495eb9db29ea7fe540d6', 'minIntensity': 0, 'maxIntensity': 33213.1953125, 'totalIntensity': 211258736}, {'mz': 646.0543011419546, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/ed41c0e321b44f8e91eb1822c89a242c', 'minIntensity': 0, 'maxIntensity': 1319.3990478515625, 'totalIntensity': 1319.3990478515625}, {'mz': 646.0567615285661, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}]",,"['UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate', 'UDP-N-acetyl-D-mannosaminouronate', 'UDP-N-acetyl-D-galactosaminuronic acid']","['C04573', 'C06240', 'C13952']",97225.875
2021-11-10_04h48m47s,pos_print19_rms_peak1104,Homo sapiens (human),374,KEGG,v1,C21H25N5O8S2,+Na,C21H25N5O8S2Na,C21H25N5O8S2+Na+,562.103675783,0.5216845,0.5450859672337148,0.9591644105209238,0.9978147228595075,0.5,False,"[{'mz': 562.1036643507956, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/8a815985010b49099182c4f0829f6b57', 'minIntensity': 0, 'maxIntensity': 44611.58984375, 'totalIntensity': 623811200}, {'mz': 563.1070403056402, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/7eb10108f1e4441da5175d79e25c61ae', 'minIntensity': 0, 'maxIntensity': 14164.125, 'totalIntensity': 173809984}, {'mz': 564.0994723567912, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}, {'mz': 564.1103938717276, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}]",,['Mezlin'],['C07221'],44611.58984375
2021-11-10_04h48m47s,pos_print19_rms_peak1104,Homo sapiens (human),374,KEGG,v1,C26H42O,+K,C26H42OK,C26H42O+K+,409.28672385699997,0.50967836,0.5610246858792518,0.9200822984869718,0.9873873873873874,0.5,True,"[{'mz': 409.2867132848012, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/ae5cbc3582774b05a072692d23bf2c5a', 'minIntensity': 0, 'maxIntensity': 19519.44921875, 'totalIntensity': 849552.375}, {'mz': 410.2900883000556, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/e82622a55a5048d184ca5d834e04be8c', 'minIntensity': 0, 'maxIntensity': 3835.896240234375, 'totalIntensity': 83588.6171875}, {'mz': 411.2848517837324, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}, {'mz': 411.2934270894767, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}]",,['B-Norcholest-4-en-3-one'],['C15119'],19519.44921875
2021-11-10_04h48m47s,pos_print19_rms_peak1104,Homo sapiens (human),374,KEGG,v1,C23H34O3,+K,C23H34O3K,C23H34O3+K+,397.213952841,0.49941266,0.5404129920658458,0.9251568392201327,0.9988916597395401,0.5,False,"[{'mz': 397.2139422688013, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/60dcfb077c1a48cc96fff1679254253d', 'minIntensity': 0, 'maxIntensity': 135988.265625, 'totalIntensity': 222870992}, {'mz': 398.2173177642089, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/b19b7ae0d03a4262ad4872c55da49329', 'minIntensity': 0, 'maxIntensity': 33401.4453125, 'totalIntensity': 15607266}, {'mz': 399.2120610010795, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}, {'mz': 399.2206651942934, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}]",,"['Pregnenolone acetate', '16-Butyl-3-methoxy-estra-1,3,5(10)-triene-16beta,17beta-diol', '11beta-Hydroxy-6alpha,11-dimethylpregn-4-ene-3,20-dione', '17abeta-Hydroxy-D-homoandrost-4-en-3-one propionate', '17beta-Hydroxy-7alpha-methylandrost-4-en-3-one propionate']","['C14658', 'C14931', 'C15115', 'C15266', 'C15374']",135988.265625
2021-11-10_04h48m47s,pos_print19_rms_peak1104,Homo sapiens (human),374,KEGG,v1,C27H42O2,+K,C27H42O2K,C27H42O2+K+,437.281638477,0.49790642,0.5467011220016863,0.9111696733919035,0.9995361418047882,0.5,False,"[{'mz': 437.2816279048013, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/54c6703b515c423a958a1359af2da26d', 'minIntensity': 0, 'maxIntensity': 226625.953125, 'totalIntensity': 234438512}, {'mz': 438.28500198029445, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/77a6f5572088462cbe2a87fb7f255dbe', 'minIntensity': 0, 'maxIntensity': 62249.2265625, 'totalIntensity': 17174400}, {'mz': 439.27977134157885, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}, {'mz': 439.28834441261273, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}]",,"['(25S)-26-Oxocholest-4-en-3-one', '(25R)-26-Oxocholest-4-en-3-one']","['C21304', 'C21305']",226625.953125
2021-11-10_04h48m47s,pos_print19_rms_peak1104,Homo sapiens (human),374,KEGG,v1,C19H22F2N4O3,+Na,C19H22N4O3F2Na,C19H22F2N4O3+Na+,415.155217567,0.4887364,0.517189084890127,0.9472776673580412,0.9975806739806311,0.5,False,"[{'mz': 415.1552070848013, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/b7b8cd9d35e943e7bcb5f87a5d26811b', 'minIntensity': 0, 'maxIntensity': 65090.78125, 'totalIntensity': 392693856}, {'mz': 416.1522656631244, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}, {'mz': 416.1585608480532, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/7bea38db24054310bad198086ea6f602', 'minIntensity': 0, 'maxIntensity': 11321.5615234375, 'totalIntensity': 17391754}, {'mz': 417.16192075450226, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}]",,['Sparfloxacin'],['C07662'],65090.78125
2021-11-10_04h48m47s,pos_print19_rms_peak1104,Homo sapiens (human),374,KEGG,v1,C22H20O6,+Na,C22H20O6Na,C22H20O6+Na+,403.115209043,0.48262888,0.5243294419326328,0.9354183816462959,0.9840182648401826,0.5,True,"[{'mz': 403.11519844080124, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/aeccf0aeb70444af81e97aa576bcee02', 'minIntensity': 0, 'maxIntensity': 12348.228515625, 'totalIntensity': 283646.5625}, {'mz': 404.11856740568686, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/3a5b5d997b32477e91036b9490af05c9', 'minIntensity': 0, 'maxIntensity': 1928.568603515625, 'totalIntensity': 12347.59375}, {'mz': 405.1194621212076, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}, {'mz': 405.12192590694383, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}]",,['Rubrophen'],['C14612'],12348.228515625
2021-11-10_04h48m47s,pos_print19_rms_peak1104,Homo sapiens (human),374,KEGG,v1,C16H25N5O16P2,+K,C16H25N5O16P2K,C16H25N5O16P2+K+,644.040311613,0.48208687,0.5105911458888686,0.9468377624989223,0.9971866096866097,0.5,False,"[{'mz': 644.0403000707956, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/2b17b304be7e4ea78517646bbd73d62f', 'minIntensity': 0, 'maxIntensity': 138037.671875, 'totalIntensity': 458203648}, {'mz': 645.0436742203918, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/3b31021f4c1042e6afea1e4434d73cb2', 'minIntensity': 0, 'maxIntensity': 44339, 'totalIntensity': 136808240}, {'mz': 646.0384349434182, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/1cdfc70a2fe94cd3a9f94e00e2970835', 'minIntensity': 0, 'maxIntensity': 7180.46875, 'totalIntensity': 285674}, {'mz': 646.0445653164367, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/dd96d8312cae4f37b4dc5483c37f8a69', 'minIntensity': 0, 'maxIntensity': 15413.12109375, 'totalIntensity': 50471016}]",,"['GDP-mannose', 'GDP-glucose', 'GDPhexose', 'GDP-L-galactose', 'GDP-L-gulose']","['C00096', 'C00394', 'C01581', 'C02280', 'C15925']",138037.671875
2021-11-10_04h48m47s,pos_print19_rms_peak1104,Homo sapiens (human),374,KEGG,v1,C7H11NO4,+K,C7H11NO4K,C7H11NO4+K+,212.031965725,0.46322536,0.4774206247548769,0.9713259398497865,0.9989095865515675,0.5,False,"[{'mz': 212.03195516280127, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/3f9627a471e44e7f9b2c1290d44a7b9f', 'minIntensity': 0, 'maxIntensity': 1072587.5, 'totalIntensity': 5159738368}, {'mz': 213.03532933252396, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/e93384b9067d4d4698f37adab2c296c6', 'minIntensity': 0, 'maxIntensity': 124434.5546875, 'totalIntensity': 568785600}, {'mz': 214.03007578939616, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}, {'mz': 214.036210942544, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}]",,"['N-Acetyl-L-glutamate 5-semialdehyde', '5-Deoxy-5-aminoshikimic acid', '(2S,5S)-trans-Carboxymethylproline', '2-Aminovalienone']","['C01250', 'C12121', 'C17366', 'C21248']",1072587.5
2021-11-10_04h48m47s,pos_print19_rms_peak1104,Homo sapiens (human),374,KEGG,v1,C19H20O3,+K,C19H20O3K,C19H20O3+K+,335.104402393,0.46279034,0.49227898811145565,0.9412080720475784,0.9988202330039817,0.5,False,"[{'mz': 335.1043918208013, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/872fbb7cbb8741e98c58298d3d4752b4', 'minIntensity': 0, 'maxIntensity': 137791.703125, 'totalIntensity': 483285536}, {'mz': 336.10777016197557, 'url': 'https://d3s59uoti91q90.cloudfront.net/iso/2021-11-10_04h48m47s/ca56cc920b154ba6b89bc567b57473d8', 'minIntensity': 0, 'maxIntensity': 21399.93359375, 'totalIntensity': 36799272}, {'mz': 337.10252084027627, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}, {'mz': 337.11110401803217, 'url': None, 'minIntensity': 0, 'maxIntensity': 0, 'totalIntensity': 0}]",,['4-Prenylresveratrol'],['C10285'],137791.703125
